	name	lenght	energy	x	y	z	dx	dy	dz	
	Epair	58102.55897782275	90391841.0512658	-0.06845680373595886	-0.3130745742102218	-58102.558976143184	-7.733498431229814e-06	-1.2647116926510406e-05	-0.9999999998901181	
	DeltaE	58213.814258618	90377776.34947608	-0.06932279466945593	-0.3144446697368683	-58213.81425692662	-7.825848665852095e-06	-1.202311921917309e-05	-0.9999999998970968	
	Epair	58631.73213555449	90307233.82092865	-0.072367141125514	-0.3194085668209864	-58631.732133822545	-6.9382765714139526e-06	-1.1936499276361066e-05	-0.9999999999046865	
	DeltaE	60150.91488706851	90303192.30432539	-0.08252771681037524	-0.33802469191328266	-60150.91488518852	-6.788397032784304e-06	-1.3270834317444387e-05	-0.9999999998888975	
	Epair	60962.07748213196	90300587.15728888	-0.08808134794113975	-0.3484056612685221	-60962.077480166525	-6.85266064096099e-06	-1.2331263117372868e-05	-0.9999999999004866	
	Epair	61309.19949835757	90297884.54809926	-0.09035987931951461	-0.35271101435742824	-61309.199496357964	-6.579424298743666e-06	-1.2386622833365594e-05	-0.9999999999016375	
	Epair	61374.7584802037	90287080.32389574	-0.09078228070654847	-0.3535166785982788	-61374.75847819778	-6.388049873411074e-06	-1.2097427620995693e-05	-0.9999999999064185	
	Epair	61447.83337788811	90282798.108097	-0.0912399165122709	-0.3544063709073628	-61447.83337587534	-6.193387776294496e-06	-1.2173668988993297e-05	-0.9999999999067178	
	Epair	61565.39833403578	90266678.43166652	-0.09196296800670749	-0.35584326790804616	-61565.39833201201	-5.994535289036626e-06	-1.226489564219181e-05	-0.9999999999068149	
	DeltaE	61597.370185451735	90265876.20962028	-0.09215419815147718	-0.3562356728631276	-61597.37018342499	-6.067892542235851e-06	-1.2280398541056937e-05	-0.9999999999061822	
	Epair	61901.00822022673	90249980.59577972	-0.09396269182668697	-0.36003757849591395	-61901.0082181708	-5.630236006260903e-06	-1.2499857036315787e-05	-0.9999999999060228	
	Epair	62060.28361773225	90240243.94808304	-0.09488939361435594	-0.36206676969883606	-62060.2836156607	-5.92854445605482e-06	-1.2877767121237835e-05	-0.9999999998995036	
	Epair	62826.84329759064	90236093.80191167	-0.09920917326497292	-0.3717157622050042	-62826.84329544618	-5.03315664443018e-06	-1.2633524924340775e-05	-0.9999999999075265	
	Epair	64580.203201634016	90230689.52138437	-0.10927649801543703	-0.3952567743820128	-64580.20319930262	-7.2462160275067315e-06	-1.3933613892700124e-05	-0.9999999998766692	
